Unnamed: 0,pump
0 days 00:00:00,3.99
0 days 00:15:00,4.01
0 days 00:30:00,3.8
0 days 00:45:00,3.85
0 days 01:00:00,3.3
0 days 01:15:00,3.47
0 days 01:30:00,3.25
0 days 01:45:00,3.0
0 days 02:00:00,2.7
0 days 02:15:00,2.44
0 days 02:30:00,2.32
0 days 02:45:00,1.98
0 days 03:00:00,1.56
0 days 03:15:00,1.69
0 days 03:30:00,1.69
0 days 03:45:00,1.71
0 days 04:00:00,1.58
0 days 04:15:00,1.47
0 days 04:30:00,1.48
0 days 04:45:00,1.61
0 days 05:00:00,1.7
0 days 05:15:00,1.91
0 days 05:30:00,2.01
0 days 05:45:00,2.21
0 days 06:00:00,2.19
0 days 06:15:00,2.27
0 days 06:30:00,2.39
0 days 06:45:00,2.47
0 days 07:00:00,3.09
0 days 07:15:00,3.56
0 days 07:30:00,3.97
0 days 07:45:00,4.32
0 days 08:00:00,5.15
0 days 08:15:00,5.36
0 days 08:30:00,5.95
0 days 08:45:00,7.08
0 days 09:00:00,7.21
0 days 09:15:00,7.36
0 days 09:30:00,8.01
0 days 09:45:00,7.56
0 days 10:00:00,7.35
0 days 10:15:00,8.08
0 days 10:30:00,7.8
0 days 10:45:00,7.93
0 days 11:00:00,7.46
0 days 11:15:00,7.57
0 days 11:30:00,7.23
0 days 11:45:00,8.68
0 days 12:00:00,7.79
0 days 12:15:00,7.39
0 days 12:30:00,7.56
0 days 12:45:00,7.67
0 days 13:00:00,6.57
0 days 13:15:00,6.28
0 days 13:30:00,5.99
0 days 13:45:00,5.92
0 days 14:00:00,7.13
0 days 14:15:00,6.32
0 days 14:30:00,6.02
0 days 14:45:00,6.2
0 days 15:00:00,5.85
0 days 15:15:00,5.93
0 days 15:30:00,5.52
0 days 15:45:00,6.51
0 days 16:00:00,6.83
0 days 16:15:00,6.41
0 days 16:30:00,6.17
0 days 16:45:00,6.52
0 days 17:00:00,5.67
0 days 17:15:00,5.93
0 days 17:30:00,6.38
0 days 17:45:00,5.19
0 days 18:00:00,5.75
0 days 18:15:00,6.07
0 days 18:30:00,6.68
0 days 18:45:00,6.06
0 days 19:00:00,5.76
0 days 19:15:00,5.37
0 days 19:30:00,4.81
0 days 19:45:00,4.19
0 days 20:00:00,3.86
0 days 20:15:00,4.05
0 days 20:30:00,4.04
0 days 20:45:00,4.52
0 days 21:00:00,4.32
0 days 21:15:00,3.68
0 days 21:30:00,3.72
0 days 21:45:00,3.74
0 days 22:00:00,3.99
0 days 22:15:00,4.78
0 days 22:30:00,3.98
0 days 22:45:00,3.31
0 days 23:00:00,2.74
0 days 23:15:00,2.78
0 days 23:30:00,2.43
0 days 23:45:00,2.23
1 days 00:00:00,2.2
1 days 00:15:00,1.99
1 days 00:30:00,1.76
1 days 00:45:00,1.78
1 days 01:00:00,1.6
1 days 01:15:00,1.61
1 days 01:30:00,1.69
1 days 01:45:00,1.49
1 days 02:00:00,1.38
1 days 02:15:00,1.23
1 days 02:30:00,1.4
1 days 02:45:00,1.35
1 days 03:00:00,1.49
1 days 03:15:00,1.35
1 days 03:30:00,1.35
1 days 03:45:00,1.52
1 days 04:00:00,1.28
1 days 04:15:00,1.4
1 days 04:30:00,1.41
1 days 04:45:00,1.62
1 days 05:00:00,1.88
1 days 05:15:00,1.93
1 days 05:30:00,2.02
1 days 05:45:00,2.0
1 days 06:00:00,2.32
1 days 06:15:00,2.41
1 days 06:30:00,3.31
1 days 06:45:00,3.32
1 days 07:00:00,4.19
1 days 07:15:00,5.12
1 days 07:30:00,5.39
1 days 07:45:00,6.09
1 days 08:00:00,6.42
1 days 08:15:00,6.56
1 days 08:30:00,7.6
1 days 08:45:00,8.17
1 days 09:00:00,8.26
1 days 09:15:00,8.05
1 days 09:30:00,8.57
1 days 09:45:00,8.2
1 days 10:00:00,9.24
1 days 10:15:00,8.76
1 days 10:30:00,8.59
1 days 10:45:00,8.96
1 days 11:00:00,8.19
1 days 11:15:00,8.84
1 days 11:30:00,7.95
1 days 11:45:00,8.22
1 days 12:00:00,7.83
1 days 12:15:00,8.04
1 days 12:30:00,7.06
1 days 12:45:00,7.82
1 days 13:00:00,7.17
1 days 13:15:00,7.21
1 days 13:30:00,7.24
1 days 13:45:00,6.33
1 days 14:00:00,6.91
1 days 14:15:00,6.75
1 days 14:30:00,6.79
1 days 14:45:00,6.5
1 days 15:00:00,6.58
1 days 15:15:00,6.41
1 days 15:30:00,5.89
1 days 15:45:00,5.99
1 days 16:00:00,7.42
1 days 16:15:00,6.56
1 days 16:30:00,6.23
1 days 16:45:00,6.34
1 days 17:00:00,6.32
1 days 17:15:00,6.98
1 days 17:30:00,6.55
1 days 17:45:00,6.63
1 days 18:00:00,7.04
1 days 18:15:00,6.46
1 days 18:30:00,6.64
1 days 18:45:00,5.74
1 days 19:00:00,6.05
1 days 19:15:00,4.56
1 days 19:30:00,4.61
1 days 19:45:00,4.67
1 days 20:00:00,4.6
1 days 20:15:00,4.27
1 days 20:30:00,4.15
1 days 20:45:00,5.14
1 days 21:00:00,5.07
1 days 21:15:00,4.66
1 days 21:30:00,4.26
1 days 21:45:00,3.79
1 days 22:00:00,3.42
1 days 22:15:00,3.58
1 days 22:30:00,3.26
1 days 22:45:00,3.02
1 days 23:00:00,2.5
1 days 23:15:00,1.89
1 days 23:30:00,1.96
1 days 23:45:00,1.74
2 days 00:00:00,1.66
2 days 00:15:00,1.73
2 days 00:30:00,1.6
2 days 00:45:00,1.43
2 days 01:00:00,1.54
2 days 01:15:00,1.38
2 days 01:30:00,1.32
2 days 01:45:00,1.19
2 days 02:00:00,1.42
2 days 02:15:00,1.22
2 days 02:30:00,1.28
2 days 02:45:00,1.37
2 days 03:00:00,1.7
2 days 03:15:00,1.68
2 days 03:30:00,1.76
2 days 03:45:00,1.84
2 days 04:00:00,2.23
2 days 04:15:00,2.48
2 days 04:30:00,2.45
2 days 04:45:00,2.61
2 days 05:00:00,3.74
2 days 05:15:00,4.17
2 days 05:30:00,4.28
2 days 05:45:00,4.55
2 days 06:00:00,4.79
2 days 06:15:00,5.38
2 days 06:30:00,5.5
2 days 06:45:00,5.06
2 days 07:00:00,5.8
2 days 07:15:00,6.36
2 days 07:30:00,6.48
2 days 07:45:00,6.59
2 days 08:00:00,7.04
2 days 08:15:00,6.7
2 days 08:30:00,7.86
2 days 08:45:00,7.57
2 days 09:00:00,7.88
2 days 09:15:00,7.35
2 days 09:30:00,6.63
2 days 09:45:00,6.65
2 days 10:00:00,6.49
2 days 10:15:00,7.28
2 days 10:30:00,6.96
2 days 10:45:00,6.68
2 days 11:00:00,5.99
2 days 11:15:00,6.59
2 days 11:30:00,7.1
2 days 11:45:00,6.47
2 days 12:00:00,6.1
2 days 12:15:00,6.29
2 days 12:30:00,5.86
2 days 12:45:00,6.45
2 days 13:00:00,6.25
2 days 13:15:00,5.37
2 days 13:30:00,5.32
2 days 13:45:00,5.41
2 days 14:00:00,5.55
2 days 14:15:00,6.21
2 days 14:30:00,5.48
2 days 14:45:00,5.01
2 days 15:00:00,5.37
2 days 15:15:00,5.16
2 days 15:30:00,5.46
2 days 15:45:00,5.4
2 days 16:00:00,6.29
2 days 16:15:00,6.66
2 days 16:30:00,6.65
2 days 16:45:00,6.44
2 days 17:00:00,6.45
2 days 17:15:00,6.78
2 days 17:30:00,6.24
2 days 17:45:00,6.21
2 days 18:00:00,6.23
2 days 18:15:00,6.0
2 days 18:30:00,6.51
2 days 18:45:00,5.68
2 days 19:00:00,5.4
2 days 19:15:00,4.79
2 days 19:30:00,4.91
2 days 19:45:00,5.0
2 days 20:00:00,4.57
2 days 20:15:00,4.13
2 days 20:30:00,4.21
2 days 20:45:00,4.92
2 days 21:00:00,4.67
2 days 21:15:00,4.55
2 days 21:30:00,4.14
2 days 21:45:00,4.02
2 days 22:00:00,3.73
2 days 22:15:00,3.37
2 days 22:30:00,2.76
2 days 22:45:00,3.07
2 days 23:00:00,2.88
2 days 23:15:00,2.28
2 days 23:30:00,2.01
2 days 23:45:00,1.84
3 days 00:00:00,1.76
3 days 00:15:00,1.41
3 days 00:30:00,1.53
3 days 00:45:00,1.43
3 days 01:00:00,1.48
3 days 01:15:00,1.45
3 days 01:30:00,1.28
3 days 01:45:00,1.27
3 days 02:00:00,1.29
3 days 02:15:00,1.41
3 days 02:30:00,1.39
3 days 02:45:00,1.61
3 days 03:00:00,1.32
3 days 03:15:00,1.72
3 days 03:30:00,1.89
3 days 03:45:00,2.08
3 days 04:00:00,2.4
3 days 04:15:00,2.71
3 days 04:30:00,2.53
3 days 04:45:00,2.72
3 days 05:00:00,3.87
3 days 05:15:00,4.37
3 days 05:30:00,4.45
3 days 05:45:00,4.11
3 days 06:00:00,5.12
3 days 06:15:00,4.7
3 days 06:30:00,6.11
3 days 06:45:00,6.1
3 days 07:00:00,6.13
3 days 07:15:00,6.09
3 days 07:30:00,6.09
3 days 07:45:00,7.13
3 days 08:00:00,6.98
3 days 08:15:00,6.92
3 days 08:30:00,7.01
3 days 08:45:00,6.92
3 days 09:00:00,7.08
3 days 09:15:00,7.03
3 days 09:30:00,6.52
3 days 09:45:00,6.62
3 days 10:00:00,5.57
3 days 10:15:00,6.35
3 days 10:30:00,6.6
3 days 10:45:00,5.57
3 days 11:00:00,5.74
3 days 11:15:00,6.27
3 days 11:30:00,6.33
3 days 11:45:00,6.39
3 days 12:00:00,5.22
3 days 12:15:00,5.55
3 days 12:30:00,5.3
3 days 12:45:00,5.69
3 days 13:00:00,5.88
3 days 13:15:00,5.41
3 days 13:30:00,4.87
3 days 13:45:00,4.51
3 days 14:00:00,4.82
3 days 14:15:00,5.25
3 days 14:30:00,5.13
3 days 14:45:00,5.48
3 days 15:00:00,5.41
3 days 15:15:00,5.41
3 days 15:30:00,5.89
3 days 15:45:00,5.23
3 days 16:00:00,5.11
3 days 16:15:00,5.54
3 days 16:30:00,6.4
3 days 16:45:00,5.89
3 days 17:00:00,6.21
3 days 17:15:00,6.42
3 days 17:30:00,6.56
3 days 17:45:00,6.95
3 days 18:00:00,6.18
3 days 18:15:00,5.45
3 days 18:30:00,6.29
3 days 18:45:00,6.41
3 days 19:00:00,5.42
3 days 19:15:00,5.87
3 days 19:30:00,5.19
3 days 19:45:00,4.5
3 days 20:00:00,4.72
3 days 20:15:00,4.86
3 days 20:30:00,4.9
3 days 20:45:00,4.6
3 days 21:00:00,4.77
3 days 21:15:00,4.5
3 days 21:30:00,4.6
3 days 21:45:00,3.88
3 days 22:00:00,3.47
3 days 22:15:00,3.97
3 days 22:30:00,2.96
3 days 22:45:00,2.65
3 days 23:00:00,2.11
3 days 23:15:00,2.08
3 days 23:30:00,1.88
3 days 23:45:00,1.83
4 days 00:00:00,1.57
4 days 00:15:00,1.58
4 days 00:30:00,1.45
4 days 00:45:00,1.38
4 days 01:00:00,1.24
4 days 01:15:00,1.34
4 days 01:30:00,1.47
4 days 01:45:00,1.15
4 days 02:00:00,1.26
4 days 02:15:00,1.42
4 days 02:30:00,1.3
4 days 02:45:00,1.15
4 days 03:00:00,1.42
4 days 03:15:00,1.37
4 days 03:30:00,1.79
4 days 03:45:00,1.7
4 days 04:00:00,2.31
4 days 04:15:00,2.18
4 days 04:30:00,2.69
4 days 04:45:00,2.99
4 days 05:00:00,3.8
4 days 05:15:00,4.59
4 days 05:30:00,4.59
4 days 05:45:00,4.57
4 days 06:00:00,4.63
4 days 06:15:00,5.37
4 days 06:30:00,5.46
4 days 06:45:00,6.37
4 days 07:00:00,6.29
4 days 07:15:00,5.81
4 days 07:30:00,6.58
4 days 07:45:00,6.4
4 days 08:00:00,7.1
4 days 08:15:00,6.61
4 days 08:30:00,6.37
4 days 08:45:00,7.05
4 days 09:00:00,6.62
4 days 09:15:00,6.77
4 days 09:30:00,6.97
4 days 09:45:00,6.84
4 days 10:00:00,7.41
4 days 10:15:00,7.16
