Unnamed: 0,p1,p3,p2
0 days 00:00:00,103.65,113.31,41.48
0 days 00:15:00,103.65,113.32,41.49
0 days 00:30:00,103.66,113.32,41.49
0 days 00:45:00,103.65,113.32,41.49
0 days 01:00:00,103.66,113.32,41.54
0 days 01:15:00,103.66,113.32,41.52
0 days 01:30:00,103.66,113.32,41.55
0 days 01:45:00,103.66,113.32,41.56
0 days 02:00:00,103.66,113.32,41.58
0 days 02:15:00,103.66,113.32,41.61
0 days 02:30:00,103.66,113.32,41.61
0 days 02:45:00,103.66,113.32,41.63
0 days 03:00:00,103.66,113.32,41.66
0 days 03:15:00,103.66,113.32,41.66
0 days 03:30:00,103.66,113.32,41.65
0 days 03:45:00,103.66,113.32,41.65
0 days 04:00:00,103.66,113.32,41.66
0 days 04:15:00,103.66,113.32,41.66
0 days 04:30:00,103.66,113.32,41.66
0 days 04:45:00,103.66,113.32,41.66
0 days 05:00:00,103.66,113.32,41.65
0 days 05:15:00,103.66,113.32,41.64
0 days 05:30:00,103.66,113.32,41.63
0 days 05:45:00,103.66,113.32,41.62
0 days 06:00:00,103.66,113.32,41.62
0 days 06:15:00,103.66,113.32,41.62
0 days 06:30:00,103.66,113.32,41.61
0 days 06:45:00,103.66,113.32,41.61
0 days 07:00:00,103.66,113.32,41.56
0 days 07:15:00,103.66,113.32,41.5
0 days 07:30:00,103.65,113.31,41.49
0 days 07:45:00,103.65,113.32,41.46
0 days 08:00:00,103.65,113.3,41.35
0 days 08:15:00,103.65,113.31,41.34
0 days 08:30:00,103.64,113.3,41.26
0 days 08:45:00,103.64,113.3,41.1
0 days 09:00:00,103.64,113.3,41.09
0 days 09:15:00,103.64,113.29,41.07
0 days 09:30:00,103.63,113.3,40.95
0 days 09:45:00,103.64,113.31,41.01
0 days 10:00:00,103.64,113.29,41.08
0 days 10:15:00,103.64,113.28,40.9
0 days 10:30:00,103.64,113.28,40.95
0 days 10:45:00,103.63,113.27,41.02
0 days 11:00:00,103.63,113.29,41.09
0 days 11:15:00,103.63,113.29,41.05
0 days 11:30:00,103.64,113.29,41.08
0 days 11:45:00,103.63,113.28,40.81
0 days 12:00:00,103.63,113.28,40.99
0 days 12:15:00,103.64,113.28,41.01
0 days 12:30:00,103.64,113.29,41.04
0 days 12:45:00,103.64,113.28,40.99
0 days 13:00:00,103.64,113.29,41.21
0 days 13:15:00,103.64,113.29,41.22
0 days 13:30:00,103.64,113.3,41.25
0 days 13:45:00,103.65,113.31,41.26
0 days 14:00:00,103.64,113.27,41.04
